"문장"
"그 가게는 열 시에 문을 연다.	"
"맘에 들어? 가격은 어때?	"
"우리 집은 학교에서 가깝다.	"
"나는 가끔 맥주를 마신다.	"
"가능하다면 내일 오세요.	"
"아버지는 아침 일찍 서울로 가셨다.	"
"나는 그녀에게 운전을 가르쳤다.	"
"가방 속은 봤어?	"
"기름은 물보다 가볍다.	"
"내가 제일 좋아하는 가수는 조용필이다.	"
"어젯밤부터 가슴이 아파요.	"
"거기 가운데 앉아라.	"
"가을에는 책을 읽기 좋다.	"
"스키를 가장 좋아해요.	"
"요즘은 거의 모든 가정에 인터넷이 연결되어 있어요. 	"
"수건 가져왔니?	"
"가족 모두가 감기에 걸렸다.	"
"그 가게는 여러 가지 물건을 팔아.	"
"그녀는 아름다운 목소리를 가지고 있다.	"
"나머지 세 강의는 각각 한 시간씩이야. 	"
"나는 어렸을 때는 간호사가 되고 싶었어.	"
"갈비 좋아하세요?	"
"감기에 걸린 것 같아요.	"
"감사합니다.	"
"그 사람을 보니까 이상한 감정이 들더라고.	"
"갑자기 날씨가 추워지고 있어.	"
"올해 채소 값이 올랐다.	"
"한강은 한국에서 가장 큰 강이다.	"
"선생님은 결과보다 과정을 강조하셨어.	"
"우와!? 저 선수는 서브가 아주 강한데!	"
"우리는 어렸을 때 같은 학교에 다녔다.	"
"같이 합시다.	"
"개를 기르고 싶어요.	"
"이 사탕은 한 개에 100(백)원이다.	"
"혜안과 나는 결혼한 지 3개월 되었다.	"
"거기에서 보자.	"
"이 거리에는 차가 많다.	"
"거울을 보세요.	"
"거의 끝나갑니다. 	"
"거짓말이 아니에요.	"
"오늘 걱정이 있어 보여요.	"
"술은 건강에 해롭다.	"
"이 건물 뒤에 있습니다. 	"
"왜 그렇게 빨리 걷는 거야? 	"
"옷을 옷걸이에 걸어라.	"
"벽에 그림이 걸려 있다.	"
"걸어갈래요? 아니면 차로 갈래요? 	"
"우리가 얼마나 걸어온 거죠? 	"
"한 남자가 검은색 가방을 들고 있었다.	"
"같은 색으로 다른 것 좀 보여주세요.	"
"컴퓨터 게임 좋아하세요? 	"
"한국의 겨울은 아주 추워요.	"
"옆집 사는 부부 결국 이혼했어요.	"
"아직 결정하지 못했어요.	"
"나랑 결혼해 줄래?	"
"그 남자 결혼식은 어디에서 하죠?	"
"그 축구 경기는 무승부로 끝났어.	"
"어떤 경우에, 저는 성급하게 결론을 내립니다.	"
"경찰에 전화는 했어?	"
"경치가 정말 아름다워요.	"
"좋은 경험이 될 거야. 	"
"냉장고에 계란이 몇 개 있어요? 	"
"계속 코피가 나요.	"
"안녕히 계세요.	"
"어떤 계절을 제일 좋아하세요?	"
"특별한 계획 있으세요?	"
"고기 먹으러 가자.	"
"나는 고등학교 때 제2외국어로 일본어를 배웠다.	"
"나는 내년에 고등학생이 된다.	"
"고마워요.	"
"내 생각에는 고양이인 것 같아.	"
"나는 고통을 참을 수 없었다.	"
"나도 정말 배가 고파.	"
"많은 한국인들이 추석에 고향으로 간다.	"
"곧 갈게요.	"
"이 도시는 살기 좋은 곳이다.	"
"미안, 내가 공을 너무 세게 던졌어.	"
"와, 공부할 게 많네요.	"
"그 공원은 얼마나 커요?	"
"나는 구두 공장에서 일했어.	"
"요즘은 공중전화를 보기가 힘들어.	"
"공책 좀 빌려줄래?	"
"인천 공항까지 좀 태워주실래요?	"
"3월1일은 한국에서 공휴일이다.	"
"오늘 몇 과 할 차례지? 	"
"토마토는 과일입니까? 아니면 채소입니까?	"
"과자 내 거 좀 남겨둬.	"
"우리 관계도 이제 끝이야. 	"
"괜찮아요.	"
"영어 교과서 10페이지를 펴세요.	"
"나는 역사 교수가 되고 싶어.	"
"이런, 지갑을 교실에 두고 왔어.	"
"대중교통을 이용하는 게 좋을 거야.	"
"매주 일요일 아침에 교회에 갑니다.	"
"그 사람은 가게를 구경만 하고 있었다.	"
"구두 닦아주세요.	"
"하늘에 구름 한 점 없다.	"
"한국에는 군인이 몇 명이나 있습니까?	"
"책은 몇 권이나 내셨어요? 	"
"왜 귀를 막는 거야?	"
"너는 웃을 때가 귀여워.	"
"그 책 이리 줘봐.	"
"그가 올까?	"
"그것 재미있겠다.	"
"그곳 날씨는 어때요? 	"
"그날 밤 너는 뭘 하고 있었어?	"
"그냥 친구 사이에요. 	"
"그대로 내버려둬라.	"
"오랜만이네! 그동안 어떻게 지냈어? 	"
"그때 이후로 그녀를 본 적이 없다. 	"
"같이 갈래? - 어, 그래.	"
"그 여자애는 키가 작아. 그래도 나보다는 커.	"
"그래서 넌 그때 뭐라고 했니? 	"
"나 늦을 거야. 그러니까 기다리지 말고 자.	"
"그러면 우리 금요일에 가요. 	"
"그런 건 아무도 못 해.	"
"그런데 넌 뭐 하러 온 거야?	"
"그럼 거기서 보자.	"
"그렇습니다.	"
"그렇지만 당신한테 잘 어울려요. 	"
"6명씩 그룹으로 하세요.	"
"한 그릇에 5천 원입니다.	"
"우유, 버터 그리고 잼이 필요해.	"
"이거 어떻게 그렸어?	"
"엄마가 나한테 그림책을 사 주셨어.	"
"그만 울어라.	"
"그분이 너를 아니?	"
"그쪽으로 가는 버스가 있나요?	"
"극장 가고 싶어.	"
